model,dataset,experiment_axis,scale_group,metric,mean,std,min,max,relative_std,n_runs
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,correct_mean_confidence,0.9694156698236452,0.0,0.9694156698236452,0.9694156698236452,0.0,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,wrong_mean_confidence,0.8553416400570181,0.0,0.8553416400570181,0.8553416400570181,0.0,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,confidence_gap,0.1140740297666271,0.0,0.1140740297666271,0.1140740297666271,0.0,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,fit_time_seconds,1.7833298499984949,0.5142991973450245,1.4196653999970297,2.1469942999999603,0.28839263658680897,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,predict_time_seconds,0.01331740000159695,0.0013954045199014167,0.0123307000030763,0.0143041000001176,0.10478055173938512,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,wall_time_seconds,1.9224583500210883,0.38345135019631343,1.6513173000421375,2.193599400000039,0.1994588596377691,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,seconds_per_test_sample,3.3293500003992455e-05,3.4885112997534927e-06,3.082675000769086e-05,3.576025000029404e-05,0.1047805517393834,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,peak_memory_mb,198.203125,33.23401871576773,174.703125,221.703125,0.16767656269681788,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,training_throughput,43997.96909203201,12688.690310916048,35025.71012880723,52970.22805525679,0.28839263658680914,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,accuracy,0.9369369369369368,0.0,0.9369369369369368,0.9369369369369368,0.0,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,balanced_accuracy,0.6879227053140097,0.0,0.6879227053140097,0.6879227053140097,0.0,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,macro_f1,0.7140228192859772,0.0,0.7140228192859772,0.7140228192859772,0.0,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,mean_confidence,0.984333217560516,0.0,0.984333217560516,0.984333217560516,0.0,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,correct_mean_confidence,0.9927568735920388,0.0,0.9927568735920388,0.9927568735920388,0.0,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,wrong_mean_confidence,0.8591817565207481,0.0,0.8591817565207481,0.8591817565207481,0.0,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,confidence_gap,0.1335751170712907,0.0,0.1335751170712907,0.1335751170712907,0.0,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,fit_time_seconds,0.18339399999331354,0.039209353849969014,0.1556688000000576,0.2111191999865695,0.21379845497343733,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,predict_time_seconds,0.0033017499899869497,0.00031643029909611466,0.0030779999797232,0.0035255000002507,0.09583714698439823,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,wall_time_seconds,0.2894438999851445,0.15615633016551997,0.1790246999998999,0.3998630999703891,0.5395046507234548,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,seconds_per_test_sample,1.4872747702644153e-05,1.4253617076401977e-06,1.3864864773528133e-05,1.5880630631760175e-05,0.0958371469843995,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,peak_memory_mb,156.935546875,20.707732572482605,142.29296875,171.578125,0.13195055540206213,2
lightgbm,pc1_1109rows_21feat_binclass,sample_scale,A_1000_3000,training_throughput,103943.83318174978,22223.03093827481,88229.77730677722,119657.88905672234,0.2137984549734373,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,accuracy,0.9743243243243244,0.0,0.9743243243243244,0.9743243243243244,0.0,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,balanced_accuracy,0.9742581056376484,0.0,0.9742581056376484,0.9742581056376484,0.0,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,macro_f1,0.9743175707271452,0.0,0.9743175707271452,0.9743175707271452,0.0,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,mean_confidence,0.977335668684224,0.0,0.977335668684224,0.977335668684224,0.0,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,correct_mean_confidence,0.9825830948191318,0.0,0.9825830948191318,0.9825830948191318,0.0,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,wrong_mean_confidence,0.7782096558806278,0.0,0.7782096558806278,0.7782096558806278,0.0,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,confidence_gap,0.2043734389385039,0.0,0.2043734389385039,0.2043734389385039,0.0,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,fit_time_seconds,0.20818850000205202,0.011603339433887883,0.1999837000039406,0.2163933000001634,0.055734776098456514,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,predict_time_seconds,0.00684240001783105,0.0003624629621477685,0.0065860999993674,0.0070987000362947,0.05297307395112869,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,wall_time_seconds,0.3417859000023782,0.12323145855880191,0.2546480999999403,0.428923700004816,0.36055161596175983,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,seconds_per_test_sample,4.623243255291281e-06,2.449074068566121e-07,4.450067567140158e-06,4.796418943442405e-06,0.05297307395113088,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,peak_memory_mb,162.40234375,19.914999579511747,148.3203125,176.484375,0.12262753800012044,2
lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,training_throughput,569600.0638473978,31746.532024201293,547151.8757739292,592048.2519208664,0.05573477609845659,2
lightgbm,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,accuracy,0.944390243902439,0.0,0.944390243902439,0.944390243902439,0.0,2
lightgbm,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,balanced_accuracy,0.9444120827241717,0.0,0.9444120827241717,0.9444120827241717,0.0,2
lightgbm,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,macro_f1,0.9443646138947056,0.0,0.9443646138947056,0.9443646138947056,0.0,2
